game_pk,game_date,season,home_abbr,away_abbr,home_runs,away_runs
663178,2022-04-07,2022,CHC,MIL,5,4
662766,2022-04-07,2022,KC,CLE,3,1
662021,2022-04-07,2022,STL,PIT,9,0
662571,2022-04-07,2022,WSH,NYM,1,5
661577,2022-04-07,2022,ATL,CIN,3,6
661042,2022-04-07,2022,LAA,HOU,1,3
663418,2022-04-07,2022,AZ,SD,4,2
661333,2022-04-08,2022,NYY,BOS,6,5
662888,2022-04-08,2022,DET,CWS,5,4
661131,2022-04-08,2022,PHI,OAK,9,5
661918,2022-04-08,2022,TB,BAL,2,1
662933,2022-04-08,2022,COL,LAD,3,5
661750,2022-04-08,2022,MIN,SEA,1,2
662124,2022-04-08,2022,SF,MIA,6,5
662559,2022-04-08,2022,WSH,NYM,3,7
661782,2022-04-08,2022,TOR,TEX,10,8
661576,2022-04-08,2022,ATL,CIN,7,6
661041,2022-04-08,2022,LAA,HOU,6,13
663417,2022-04-08,2022,AZ,SD,0,3
661917,2022-04-09,2022,TB,BAL,5,3
662864,2022-04-09,2022,DET,CWS,2,5
661756,2022-04-09,2022,MIN,SEA,3,4
662020,2022-04-09,2022,STL,PIT,6,2
663205,2022-04-09,2022,CHC,MIL,9,0
661803,2022-04-09,2022,TOR,TEX,4,3
661130,2022-04-09,2022,PHI,OAK,4,2
662123,2022-04-09,2022,SF,MIA,1,2
661332,2022-04-09,2022,NYY,BOS,4,2
662765,2022-04-09,2022,KC,CLE,1,0
662588,2022-04-09,2022,WSH,NYM,0,5
661575,2022-04-09,2022,ATL,CIN,2,1
662931,2022-04-09,2022,COL,LAD,3,2
663404,2022-04-09,2022,AZ,SD,2,5
661040,2022-04-09,2022,LAA,HOU,2,0
661129,2022-04-10,2022,PHI,OAK,1,4
661916,2022-04-10,2022,TB,BAL,8,0
662887,2022-04-10,2022,DET,CWS,1,10
662570,2022-04-10,2022,WSH,NYM,4,2
661573,2022-04-10,2022,ATL,CIN,3,6
661802,2022-04-10,2022,TOR,TEX,6,12
662755,2022-04-10,2022,KC,CLE,3,17
661738,2022-04-10,2022,MIN,SEA,10,4
662019,2022-04-10,2022,STL,PIT,4,9
663204,2022-04-10,2022,CHC,MIL,4,5
662934,2022-04-10,2022,COL,LAD,9,4
662122,2022-04-10,2022,SF,MIA,3,2
661039,2022-04-10,2022,LAA,HOU,1,4
663395,2022-04-10,2022,AZ,SD,5,10
661316,2022-04-10,2022,NYY,BOS,3,4
662754,2022-04-11,2022,KC,CLE,7,10
663403,2022-04-11,2022,BAL,MIL,2,0
662042,2022-04-11,2022,TEX,COL,4,6
662863,2022-04-11,2022,DET,BOS,3,1
661915,2022-04-11,2022,TB,OAK,2,13
661637,2022-04-11,2022,PHI,NYM,5,4
661315,2022-04-11,2022,NYY,TOR,0,3
661572,2022-04-11,2022,ATL,WSH,2,11
661754,2022-04-11,2022,MIN,SEA,4,0
661036,2022-04-11,2022,LAA,MIA,6,2
662116,2022-04-11,2022,SF,SD,2,4
662862,2022-04-12,2022,DET,BOS,3,5
663088,2022-04-12,2022,CIN,CLE,5,10
661538,2022-04-12,2022,CWS,SEA,3,2
662318,2022-04-12,2022,PIT,CHC,1,2
661944,2022-04-12,2022,TB,OAK,9,8
661636,2022-04-12,2022,PHI,NYM,0,2
661314,2022-04-12,2022,NYY,TOR,4,0
663295,2022-04-12,2022,BAL,MIL,4,5
661038,2022-04-12,2022,LAA,MIA,4,3
661571,2022-04-12,2022,ATL,WSH,16,4
661753,2022-04-12,2022,MIN,LAD,2,7
662017,2022-04-12,2022,STL,KC,6,5
661995,2022-04-12,2022,TEX,COL,1,4
663411,2022-04-12,2022,AZ,HOU,1,2
662104,2022-04-12,2022,SF,SD,13,2
661570,2022-04-13,2022,ATL,WSH,1,3
663117,2022-04-13,2022,CIN,CLE,3,7
662317,2022-04-13,2022,PIT,CHC,6,2
661643,2022-04-13,2022,PHI,NYM,6,9
662885,2022-04-13,2022,DET,BOS,7,9
661734,2022-04-13,2022,MIN,LAD,0,7
663341,2022-04-13,2022,AZ,HOU,3,2
662115,2022-04-13,2022,SF,SD,2,1
661943,2022-04-13,2022,TB,OAK,2,4
661313,2022-04-13,2022,NYY,TOR,4,6
663433,2022-04-13,2022,BAL,MIL,2,4
661530,2022-04-13,2022,CWS,SEA,6,4
661942,2022-04-14,2022,TB,OAK,3,6
661529,2022-04-14,2022,CWS,SEA,1,5
661292,2022-04-14,2022,MIL,STL,5,1
662307,2022-04-14,2022,PIT,WSH,9,4
661418,2022-04-14,2022,MIA,PHI,4,3
661312,2022-04-14,2022,NYY,TOR,3,0
661993,2022-04-14,2022,TEX,LAA,10,5
662702,2022-04-14,2022,KC,DET,2,4
662237,2022-04-14,2022,SD,ATL,12,1
662950,2022-04-14,2022,COL,CHC,2,5
662627,2022-04-14,2022,LAD,CIN,9,3
662485,2022-04-15,2022,NYM,AZ,10,3
663265,2022-04-15,2022,BOS,MIN,4,8
662291,2022-04-15,2022,PIT,WSH,2,7
661417,2022-04-15,2022,MIA,PHI,7,1
663357,2022-04-15,2022,BAL,NYY,2,1
661792,2022-04-15,2022,TOR,OAK,4,1
663136,2022-04-15,2022,CLE,SF,1,4
661528,2022-04-15,2022,CWS,TB,3,2
662014,2022-04-15,2022,TEX,LAA,6,9
662701,2022-04-15,2022,KC,DET,1,2
661267,2022-04-15,2022,MIL,STL,1,10
662960,2022-04-15,2022,COL,CHC,6,5
662236,2022-04-15,2022,SD,ATL,2,5
662192,2022-04-15,2022,SEA,HOU,11,1
662620,2022-04-15,2022,LAD,CIN,3,1
662626,2022-04-16,2022,NYM,AZ,2,3
661527,2022-04-16,2022,CWS,TB,3,2
661759,2022-04-16,2022,TOR,OAK,5,7
662235,2022-04-16,2022,SD,ATL,2,5
662798,2022-04-16,2022,KC,DET,3,1
663238,2022-04-16,2022,BOS,MIN,4,0
663076,2022-04-16,2022,CLE,SF,2,4
661416,2022-04-16,2022,MIA,PHI,3,10
662290,2022-04-16,2022,PIT,WSH,6,4
661981,2022-04-16,2022,TEX,LAA,2,7
663266,2022-04-16,2022,BAL,NYY,2,5
661335,2022-04-16,2022,MIL,STL,1,2
662966,2022-04-16,2022,COL,CHC,9,6
662206,2022-04-16,2022,SEA,HOU,0,4
662619,2022-04-16,2022,LAD,CIN,5,2
663365,2022-04-17,2022,BAL,NYY,5,0
662294,2022-04-17,2022,PIT,WSH,5,3
663308,2022-04-17,2022,BOS,MIN,8,1
661804,2022-04-17,2022,TOR,OAK,4,3
662625,2022-04-17,2022,NYM,AZ,5,0
663132,2022-04-17,2022,CLE,SF,1,8
661415,2022-04-17,2022,MIA,PHI,11,3
661462,2022-04-17,2022,CWS,TB,3,9
661226,2022-04-17,2022,MIL,STL,6,5
662038,2022-04-17,2022,TEX,LAA,3,8
662930,2022-04-17,2022,COL,CHC,4,6
662618,2022-04-17,2022,LAD,CIN,9,1
662174,2022-04-17,2022,SEA,HOU,7,2
662234,2022-04-17,2022,SD,ATL,2,1
663236,2022-04-18,2022,BOS,MIN,3,8
663197,2022-04-18,2022,CHC,TB,4,2
661242,2022-04-18,2022,MIL,PIT,6,1
662928,2022-04-18,2022,HOU,LAA,8,3
662929,2022-04-18,2022,COL,PHI,4,1
662407,2022-04-18,2022,OAK,BAL,5,1
662233,2022-04-18,2022,SD,CIN,4,1
662617,2022-04-18,2022,LAD,ATL,7,4
662587,2022-04-19,2022,WSH,AZ,6,1
662583,2022-04-19,2022,WSH,AZ,1,0
662350,2022-04-19,2022,NYM,SF,5,4
662616,2022-04-19,2022,NYM,SF,3,1
661405,2022-04-19,2022,MIA,STL,1,5
662896,2022-04-19,2022,DET,NYY,2,4
663249,2022-04-19,2022,BOS,TOR,2,1
663196,2022-04-19,2022,CHC,TB,5,6
661211,2022-04-19,2022,MIL,PIT,5,2
662927,2022-04-19,2022,HOU,LAA,2,7
662753,2022-04-19,2022,KC,MIN,4,3
662925,2022-04-19,2022,COL,PHI,6,5
662406,2022-04-19,2022,OAK,BAL,2,1
662232,2022-04-19,2022,SD,CIN,6,2
662161,2022-04-19,2022,SEA,TEX,6,2
662717,2022-04-19,2022,LAD,ATL,1,3
661203,2022-04-20,2022,MIL,PIT,4,2
663094,2022-04-20,2022,CLE,CWS,11,1
663075,2022-04-20,2022,CLE,CWS,2,1
662924,2022-04-20,2022,COL,PHI,6,9
662734,2022-04-20,2022,LAD,ATL,5,1
662231,2022-04-20,2022,SD,CIN,6,0
662392,2022-04-20,2022,OAK,BAL,0,1
663146,2022-04-20,2022,CHC,TB,2,8
662926,2022-04-20,2022,HOU,LAA,0,6
661404,2022-04-20,2022,MIA,STL,0,2
662861,2022-04-20,2022,DET,NYY,3,5
662560,2022-04-20,2022,WSH,AZ,2,11
662349,2022-04-20,2022,NYM,SF,2,5
663247,2022-04-20,2022,BOS,TOR,1,6
662703,2022-04-20,2022,KC,MIN,2,0
662178,2022-04-20,2022,SEA,TEX,4,2
662593,2022-04-21,2022,NYM,SF,6,2
663093,2022-04-21,2022,CLE,CWS,6,3
662850,2022-04-21,2022,DET,NYY,3,0
663225,2022-04-21,2022,BOS,TOR,2,3
