game_id,commence_time,home_team,away_team,bookmaker,market,outcome_name,outcome_price,outcome_point
5469c15e3925b64e5437f4ebe23e9b60,2026-05-11T22:11:00Z,Cleveland Guardians,Los Angeles Angels,fanduel,spreads,Cleveland Guardians,128,-1.5
5469c15e3925b64e5437f4ebe23e9b60,2026-05-11T22:11:00Z,Cleveland Guardians,Los Angeles Angels,fanduel,spreads,Los Angeles Angels,-154,1.5
5469c15e3925b64e5437f4ebe23e9b60,2026-05-11T22:11:00Z,Cleveland Guardians,Los Angeles Angels,fanduel,totals,Over,-105,7.5
5469c15e3925b64e5437f4ebe23e9b60,2026-05-11T22:11:00Z,Cleveland Guardians,Los Angeles Angels,fanduel,totals,Under,-115,7.5
a96772c4a288f0b16b88697b8dfdd837,2026-05-11T22:36:00Z,Baltimore Orioles,New York Yankees,fanduel,spreads,Baltimore Orioles,-125,1.5
a96772c4a288f0b16b88697b8dfdd837,2026-05-11T22:36:00Z,Baltimore Orioles,New York Yankees,fanduel,spreads,New York Yankees,104,-1.5
a96772c4a288f0b16b88697b8dfdd837,2026-05-11T22:36:00Z,Baltimore Orioles,New York Yankees,fanduel,totals,Over,-102,9.0
a96772c4a288f0b16b88697b8dfdd837,2026-05-11T22:36:00Z,Baltimore Orioles,New York Yankees,fanduel,totals,Under,-120,9.0
8ca76871aa74f5f88b3dba57c6e6e48c,2026-05-11T23:08:00Z,Toronto Blue Jays,Tampa Bay Rays,fanduel,spreads,Tampa Bay Rays,-215,1.5
8ca76871aa74f5f88b3dba57c6e6e48c,2026-05-11T23:08:00Z,Toronto Blue Jays,Tampa Bay Rays,fanduel,spreads,Toronto Blue Jays,176,-1.5
8ca76871aa74f5f88b3dba57c6e6e48c,2026-05-11T23:08:00Z,Toronto Blue Jays,Tampa Bay Rays,fanduel,totals,Over,-115,7.0
8ca76871aa74f5f88b3dba57c6e6e48c,2026-05-11T23:08:00Z,Toronto Blue Jays,Tampa Bay Rays,fanduel,totals,Under,-105,7.0
