Team,OBP,SLG,wRC+,G,PA
ATL,0.344,0.501,114.5,162,6249
TEX,0.337,0.452,108.2,162,6306
TB,0.331,0.445,106.4,162,6164
MIA,0.316,0.405,99.5,162,6043
HOU,0.331,0.437,105.5,162,6253
BOS,0.324,0.424,102.9,162,6174
LAD,0.34,0.455,109.0,162,6333
TOR,0.329,0.417,103.1,162,6220
PHI,0.327,0.438,104.9,162,6207
BAL,0.321,0.421,102.1,162,6123
CHC,0.33,0.421,103.7,162,6220
WSH,0.314,0.396,98.2,162,6085
CLE,0.313,0.381,96.5,162,6096
AZ,0.322,0.408,100.9,162,6124
STL,0.326,0.416,102.5,162,6204
CIN,0.327,0.42,103.1,162,6195
COL,0.31,0.405,98.4,162,6055
LAA,0.317,0.426,101.8,162,6145
KC,0.303,0.398,96.4,162,5985
SD,0.329,0.413,102.7,162,6180
MIN,0.326,0.428,103.7,162,6219
SEA,0.321,0.413,101.2,162,6201
MIL,0.319,0.385,98.0,162,6084
PIT,0.315,0.392,98.0,162,6089
NYM,0.316,0.407,99.7,162,6056
CWS,0.291,0.384,92.8,162,5980
DET,0.305,0.382,95.1,162,6080
SF,0.312,0.383,96.5,162,6095
NYY,0.304,0.397,96.5,162,5973
OAK,0.298,0.37,92.6,162,5966
