Team,OBP,SLG,G,PA,wRC+
TOR,0.333,0.427,162,6180,104.8
PHI,0.328,0.431,162,6166,104.7
MIL,0.332,0.403,162,6227,101.4
BOS,0.324,0.421,162,6206,102.8
ATH,0.318,0.431,162,6151,103.3
LAD,0.327,0.441,162,6187,105.9
SD,0.321,0.39,162,6087,98.1
AZ,0.325,0.433,162,6210,104.6
TB,0.313,0.401,162,6045,98.5
NYY,0.332,0.455,162,6235,108.6
MIA,0.314,0.393,162,6142,97.5
HOU,0.315,0.399,162,6087,98.5
CHC,0.32,0.43,162,6162,103.4
NYM,0.326,0.427,162,6178,103.9
KC,0.309,0.397,162,6008,97.4
DET,0.316,0.413,162,6093,100.6
STL,0.314,0.379,162,6069,95.6
ATL,0.32,0.399,162,6186,99.2
CIN,0.315,0.391,162,6082,97.4
SEA,0.32,0.42,162,6200,102.1
WSH,0.304,0.389,162,5982,95.6
MIN,0.31,0.397,162,6059,97.5
COL,0.293,0.386,162,5908,93.7
BAL,0.305,0.394,162,6020,96.4
SF,0.311,0.386,162,6072,96.1
TEX,0.302,0.381,162,6046,94.2
CWS,0.302,0.373,162,5987,93.1
PIT,0.305,0.35,162,6008,90.3
CLE,0.296,0.373,162,5943,92.3
LAA,0.298,0.397,162,6000,95.9
