Team,FIP,xFIP,BB%,K%,ERA,G
MIL,4.21,4.13,0.0823,0.2379,3.71,162
SD,4.13,4.07,0.0916,0.2376,3.73,162
SEA,3.88,3.86,0.0701,0.2429,3.74,162
TOR,4.05,4.01,0.08,0.2505,3.78,162
TB,3.8,3.81,0.0732,0.2514,3.86,162
MIN,3.88,3.88,0.0735,0.2588,3.87,162
BAL,3.97,3.96,0.0776,0.2347,3.89,162
HOU,4.31,4.25,0.0879,0.239,3.94,162
CLE,4.21,4.17,0.0869,0.2134,3.96,162
NYY,4.25,4.21,0.0836,0.2368,3.97,162
SF,3.91,3.93,0.0667,0.225,4.02,162
PHI,3.99,4.0,0.0774,0.2394,4.03,162
LAD,4.22,4.2,0.0754,0.2306,4.06,162
CHC,4.16,4.15,0.0843,0.2263,4.08,162
ATL,4.09,4.1,0.087,0.2471,4.14,162
MIA,4.13,4.14,0.0844,0.2446,4.21,162
DET,4.12,4.14,0.0784,0.2262,4.24,162
TEX,4.31,4.31,0.0815,0.2242,4.28,162
NYM,4.46,4.44,0.0973,0.2285,4.3,162
AZ,4.35,4.37,0.0861,0.2215,4.48,162
BOS,4.37,4.39,0.0806,0.2307,4.52,162
PIT,4.39,4.42,0.0955,0.2185,4.6,162
LAA,4.65,4.65,0.1009,0.2292,4.64,162
STL,4.42,4.48,0.0845,0.1937,4.79,162
CIN,4.78,4.79,0.0971,0.2189,4.83,162
CWS,4.7,4.73,0.1038,0.2333,4.87,162
WSH,5.15,5.13,0.0942,0.1949,5.02,162
KC,4.69,4.76,0.0901,0.2069,5.17,162
OAK,5.05,5.11,0.1087,0.2036,5.48,162
COL,5.23,5.3,0.0928,0.1788,5.67,162
